,title,company,location,industry,description,seniority,employment_type,functions
0,Marketing Data Analyst,CoreTechs,"Santa Clara, California","Information,Technology,Services,Computer,Hardware,Automotive","Position is located in Santa Clara, CA and is a three to six month contractExperienced practitioner in market research and analytics. Has applied a variety of quantitative and qualitative research methods to find solutions to business problems.Compile and analyze automotive data related to manufacturing, sales and trends and help improve and validate forecast assumptions.Collect industry-related market research for automotive navigation solutions and understands how to leverage different external sources to estimate total penetration of the company products.Comfortable with large data sets and interest in building data models for consumer behavior and business metrics.Help combining data from multiple internal and external sources to extract meaning, reconcile assumptions, and identify logical path for actionPerform ad hoc analyses to investigate and drive insights into key business trends.Conduct the standard suite of product analyses to uncover insights about our products and users.Strong SQL and Excel skills with working knowledge of some reporting systemStrong attention to detail and understanding of business processesExcellent problem solving and analytical skillsSolid interpersonal skills with proven ability to develop and maintain effective business partner relationships.4+ years of business focused analysis experience in a Data Analyst or Business Intelligence focused role",Mid-Senior level,Contract,"

              Marketing
 

              Analyst
 

              Research
 
"
1,"Data Scientist, Marketing Analytics",Prosper Marketplace,"San Francisco, California","Financial,Services,Information,Technology,Services","Who Are We? Prosper is built on a simple idea: connect people who want to borrow money with those that have money to invest. Prosper is an online marketplace that gives borrowers access to individual and institutional investors. Borrowers get low, fixed rates with no hidden fees or prepayment penalties. Investors can earn great returns through the platform’s data-driven underwriting for personal loans, creating a new and diverse investment opportunity. Through Prosper, more than $12 billion in personal loans have helped borrowers consolidate their credit card debt, pay for large purchases, make home improvements and cover medical expenses. Prosper Marketplace is headquartered in San Francisco and operations in Phoenix.Prosper Marketplace is headquartered in San Francisco. The Prosper marketplace lending platform is owned by Prosper Funding LLC. For more information visit: www.prosper.com and follow Prosper on Twitter @ProsperLoans.What We NeedWe are seeking an experienced data scientist to join our Marketing Analytics team in San Francisco. The successful candidate is a rigorous data analyst with a passion for seeking truth and driving Prosper's omni-channel marketing strategy. You will apply statistical and economic models to inform spend decisions for Prosper's multi-million dollar marketing budget. You must be able to work both independently and in a collaborative environment with acute attention to detail. This role will be reporting to the Director, Marketing Analytics. What You Will DoLead investigations into marketing program economics - segmentation, targeting, messaging, conversion, and loan performance - to drive growth and increase efficiencies.Leverage models to inform key marketing initiatives such as cross-channel spend allocation (UA and retention), expected response, multi-touch attribution, and LTV.Partner with marketing, product & risk teams to create, develop and integrate marketing testing that align with product and risk strategies.Perform A/B test analysis and present test results and recommendations.Influence key decisions across marketing, product, and risk programs through robust data analysis, distilling and presenting actionable insights.  Align closely with business units to develop analysis and predictive modeling to drive critical business organizational decisions and optimization efforts. What You Will Need To HaveMaster’s Degree in STEM or other quantitative field. PhD preferred but not required.2+ years experience in a statistical modeling oriented role; marketing analytics experience preferred.Strong knowledge of Python / R or other mathematical programming languages; experience working with large data sets preferred.Knowledge of SQL preferred but not required.Proven experience with statistical modeling techniques.Desire to work in a fast paced, ever changing, start-up environment.Ability to drive solutions to complex problems quickly and successfully, both individually and as part of a team effort.Willingness to learn new skills and embrace a team-first culture. What’s In It For YouIn addition to working for a world class FinTech company and having a lot of fun doing it, Prosper provides it’s employees an excellent compensation and benefits plan. The plan includes incentive bonuses, stock options, company paid health, dental and vision insurance, paid vacation time, 401k with employer match and even fitness reimbursement and commuting reimbursement benefits.",Mid-Senior level,Full-time,"

              Analyst
 

              Research
 

              Marketing
 
"
2,Data Analyst (Pocket),Mozilla,"Mountain View, CA, US","Information,Technology,Services,Computer,Software,Internet","We’re looking for a passionate, driven, and experienced data analyst to work with our world-class Data & Analytics team.At Pocket we love what we do, but more importantly we are building something that millions of people love, too. Pocket has become essential to how people discover and consume content worthy of their time and attention on any device and on their own time. If you are passionate about using technology to improve people's lives, we believe Pocket has challenges in front of us that will excite you.With millions of people discovering and consuming content across the Pocket platform, our community generates one of the most unique and interesting sets of data on the web. Furthermore, Pocket’s small size will allow you to work on diverse analysis instead of being limited to supporting any one business group. If you are interested in applying your data analysis skills to help each and every one of Pocket’s teams make timely, data-driven decisions, then Pocket might be the place for you!We're a small team that has the resources of a large company (Pocket was acquired by Mozilla in 2017) and that means lots of opportunity to own projects from start to finish that have tremendous impact on hundreds of millions of users, across many different devices and platforms.Come work with us and make a big impact.What You’ll Do Conceptualize, build, and maintain dashboards and reports focusing on key metrics and experiments Collaborate with product, business, and engineering teams across Pocket to support their data needs and refine their understanding of it Explore and research data relating to key product and business metrics Create simple and elegant data visualizations designed to communicate insights clearly What You Already Have BA/BS in a quantitative field 2+ years of experience in data analysis or statistics/math Can demonstrate advanced SQL knowledge and are comfortable wrangling large data sets into easy to comprehend analysis and visualizations Experience with a data visualization tool (e.g. Mode Analytics/Chartio/Tableau) Enjoy communicating insights concisely, accurately, and meaningfully to a diverse audience Have a passion for helping anyone and everyone understand complex topics Any Python/R/Apache Spark experience considered a plus About PocketLearn more on our blog. To learn more about the Mozilla acquisition of Pocket, please visit our blog.Mozilla is committed to Equal Employment Opportunity throughout our recruiting and hiring process and is dedicated to growing diversity in our workplace.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Associate,Full-time,"

              Information Technology
 
"
3,Data Scientist 1: Genomics,Calico Life Sciences,"South San Francisco, CA, US","Research,Biotechnology,Pharmaceuticals","Who We AreCalico is a research and development company whose mission is to harness advanced technologies to increase our understanding of the biology that controls lifespan and healthspan, and to devise interventions that enable people to lead longer and healthier lives. Executing on this mission will require an unprecedented level of interdisciplinary effort and a long-term focus for which funding is already in place.Position DescriptionCalico is seeking a genomics specialist with experience in software engineering to join a small, world-class team that works in close collaboration with outstanding biologists to achieve novel discoveries regarding aging and age-related diseases.As a member of the Data Science team you will work closely with other data scientists and software engineers on genomics-oriented projects involving analysis and software engineering. You will help to expand our software infrastructure for carrying out diverse genomic analyses (genome assembly, RNAseq, ribosome profiling, ATACseq, etc.) and apply these workflows to answer diverse problems.Position Requirements A Master’s degree or a Bachelor's degree with 2+ years of work experience in genomics or a related discipline and a demonstrated focus on computational research or software engineering Excellent coding skills in Python and/or R Ability to work independently and deliver clear results to collaborators without extensive computational experience Detail-oriented mindset A strong desire to be part of Calico’s mission Experience with analyses and their visualizations of high-throughput biological datasets and pipeline development, which includes strong knowledge of at least one of these genomics profiling approaches: RNA-seq, ribosome-profiling, single-cell RNA-seq, ATAC-seq, and proteomics Experience in thinking through design of biological experiments, including identifying and solving problems inherent to biological data",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
4,Data Scientist,Hulu,"Santa Monica, CA, US","Internet,Marketing,Advertising,Media,Production","Hulu is a premium streaming TV destination that seeks to captivate and connect viewers with the stories they love. We create amazing experiences that celebrate the best of entertainment and technology. We’re looking for great people who are passionate about redefining TV through innovation, unconventional thinking and embracing fun. It’s a mission that takes some serious smarts, intense curiosity and determination to be the best. Come be part of the team that’s powering play.SummaryAt Hulu, number one priority is our customers. We make business decisions around our customers’ preferences. Data Sciences Team at Hulu combines deep data analysis and research of our rich user data to present a compelling vision around user retention and preferences across the vast ecosystem of Hulu’s product offerings and content. We are looking for data scientists who are passionate about using data to drive strategy and product recommendations. You will be engaged with senior leaders to design well-constructed analyses and work cross-functionally with analysts, product managers and engineers to effectively deliver actionable results. You will work on variety of domains such as data science, machine learning and optimization; lead cutting edge analytical solution development pipeline and contribute to external research via attending conferences and collaborations.What You’ll DoApply state of the art machine learning, statistics or data mining in a variety of areas, including customer analysis, video content genome, social analysis, etc.Invent and fast iterate on novel solutions to challenging data related problems.Develop scalable and efficient methods for large scale data analyses and model development.Collaborate with developers, program managers, and product managers in an open, creative environment.Coaching and providing research and system guidance to a team of other researchers on a variety of areas including video content genome, social mining, data analysis, etc.WHAT TO BRINGMaster's degree in Statistics or related quantitative field (e.g. Computer Science, Econometrics, Mathematics, Physics, Operations Research)3+ years related experience such as analyzing data and/or building analytical models; in either an academic or professional setting and 3+ years relevant work experience.Experienced with scripting languages such as R, Python, Ruby or SAS.Real world analytical solution building experience.Ability to draw conclusions from data and recommend actions.Demonstrated self-direction.Proficient in prototyping models using scripting languages (e.g. Python, Ruby, etc.).NICE-TO-HAVESPhD in in Statistics or related quantitative field (e.g. Econometrics, Mathematics, Physics, Operations Research).Experience in causal inference is a plus.",Not Applicable,Full-time,"

              Engineering
 

              Information Technology
 
"
0,Data Scientist Engineer,Quid,"San Francisco, California, United States","Management,Consulting","Quid is a San Francisco-based company that has reimagined how people search for and explore information. Our core product offering combines topic modeling with network theory and interactive visualizations to make sense of large quantities of structured and unstructured data. We are now taking our analytics to the next level, leveraging advanced predictive analytics in combination with a newly designed and highly flexible visualization framework to create a powerful “insights platform.”  At the core of our platform is a series of analysis modules - the brains of our offering. And we need your help translating these core capabilities to applications.There are three main data science functions at Quid.  Our Applied Data Scientists work with clients directly to provide custom solutions, thereby gaining intel on potential applications to build.  Our Core Data Scientists build the algorithms that power our platform. Our Data Science Engineers write the backend applications that leverage our core data science capabilities to address user needs. The outputs of these applications populate our visualizations and deliver insights. This role requires very strong engineering skills along with enough data science expertise to intelligently interact with and tune core data science modules. The OpportunityWork with our Core Data Science, Product and UX groups to translate user requirements into sensible, robust, production-ready code.Design and implement automated, scalable, and robust streaming and batch data acquisition pipelinesDesign, implement and maintain a high-performance, scalable, and reliable search API backed by an Elasticsearch cluster.Work closely with product and other engineering teams to identify requirements and iterate on solutionsOwn the monitoring and operations of the data pipelines and search API, making sure our clients can always search and generate insights from the latest available dataOwn Quid’s frameworks, practices and standards for distributed systems, streaming pipelines, batching jobs and other data processing needsResearch and advocate for new technologies to add to Quid’s technology stacksEvangelize and facilitate best practices, code reviews, architecture and design reviews, tested code and a great engineering cultureExample core data science capabilities:Statistical anomaly detectionEntity extraction and named-entity disambiguationKnowledge graphsGraph analyticsSentiment analysisHierarchical topic modeling and other clustering methodsUser intent inferencePredictive modelingTrend detectionEvent detectionIntelligent summarizationExample technical challenge:Leverage our news data set in combination with event detection, summarization, sentiment analysis and anomaly detection to surface interesting insights related to brand perception. Work with Core Data Science, Product and UX to define requirements in terms of logic and key visualizations and build the backend services to deliver agreed upon outputs.Leverage our knowledge graph in combination with network statistics to determine key opinion leaders in research articlesYour Qualifications2+ years of industry experience using modern machine learning technologiesPhD in a computational field from a leading universityExtensive experience writing production-quality codeExpert ability to break down and clearly define problemsTeam player and eager mentorCurious natureAt least 3 years of professional experience in building large software systemsExpert level knowledge in Python, we also use Java, Scala, C++ as needed (any combination of the above is ok)Solid computer science foundation; good understanding of data-structures, memory and runtime complexityExperience with building large-scale distributed systemsExperience with ElasticsearchBS in Computer Science or equivalentExperience with Spark or Kafka is a plusPreferred/Extra credit:Experience with NLPFormal background in computational linguisticsExpertise in unsupervised machine learning methodsExpertise with neural networks/deep learning Please note before submitting your application: As a company, we take hiring very seriously. Interviewing with Quid may include video and phone interviews, written projects, and/or onsite interviews. Although we are unable to follow-up with each and every applicant, we do our best to run a thorough process with whom we identify a potential fit.Quid is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Mid-Senior level,Full-time,"

              Engineering
 
"
1,Bioinformatics Data Scientist,Ambry Genetics,"Aliso Viejo, California","Biotechnology,Hospital,&,Health,Care,Research","SUMMARYAmbry Genetics, a rapidly growing genomic services and clinical diagnostics company at the forefront of innovative science with a tremendous focus on client care. We are seeking a Bioinformatics Data Scientist to join the Bioinformatics and Computational Biology Department. This is an excellent opportunity for someone looking to make a difference in our stimulating and dynamic organization. JOB OVERVIEWWe are looking for an independent contributor, with a creative streak to complement our cross-disciplinary bioinformatics and computational biology team. You will apply your knowledge of biology and data science to leverage our internal data for healthcare by developing predictive models. DUTIES & RESPONSIBILITIESDevelop new methods and protocols for large scale modeling of structural and protein interactions Develop tools to extract features assisting clinical and genetic analysis on in-house analysis platform Engineer and validate features for variant classification Develop and implement variant classification models using structural data Develop machine learning models for biomarker discovery Present and communicate team objectives and achievements to both a technical and nontechnical audience TECHNICAL COMPETENCIESKnowledge of DNA, RNA, and proteins Experience in analyzing next-generation sequencing data is a plus Knowledge and expertise in developing and implementing predictive models Experience in building industry standard machine learning infrastructures is a plus Proficiency with Python and shell scripting in Linux/Unix environment; flexibility and proficiency in additional languages is preferred Experience in using high performance computing and storage systems Experience in SQL and database modeling Ability to work with open source tools and techniques Proficiency in software version control using Git or equivalent The ability to deliver projects on time and to specification Excellent oral and written communication skills Ability to work within a team, among cross-departments, and as an independent contributor, requiring minimal supervisionEDUCATION AND EXPERIENCEPhD preferred, or Masters plus equivalent industry experience required. Degree in computational biology, structural biology, biophysics, bioinformatics, data science, or computer science At least 3 years of research or industrial experience in scientific computing or computational research Familiarity with molecular and structural biology",Mid-Senior level,Full-time,"

              Science
 

              Analyst
 

              Information Technology
 
"
2,Quality Engineer - Data Science Engineering Team,Ancestry,"San Francisco, CA, US","Computer,Software,Internet","Job DescriptionAncestry is looking for a passionate Quality Engineer to design and implement automated testing. You will research and demonstrate better test strategies and play a key role in implementing and maintaining customer-focused test automation. You will prepare test plans and cases and write automation towards the completion of those cases. Some ad-hoc, manual testing may be required based on the determined risk of the release.You should have a passion for software testing, a great customer experience, Web services test automation, and working in an agile context. In this role, you will mentor, coach, and work directly with development teams to promote adoption of testing best practices and tools. You will lead and coordinate efforts with third party testers on their development teams.YOU WILL…Plan, scope, schedule and implement testing activities for projects of varying size and complexityUtilize test automation frameworks standards and tools, and contribute to best practicesImplement and enforce continuous testing quality gates in the continuous integration and continuous deployment pipelinesWrite and maintain automation for select projects, primarily for REST web servicesBuild credibility with development teams, and demonstrate how to write good tests and testable codeCommunicate status, metrics and trending of quality for the development teamQualificationsBachelor’s Degree in Computer Science/ related or equivalent required5+ years of software testing experience developing and maintaining API and microservices test automationVerifiable working knowledge of HTTP protocol (methods, headers, MIME types), REST, JSON, XMLDemonstrable experience of software development and agile software test lifecyclesDemonstrate ability to use and understand new technologiesExperience with continuous testing practices in a CI/CD development pipeline, and deploying test automation in the dev pipelineExperience working in an Agile Development environmentKnowledge of current test automation tools and frameworks (ieTestNG, JUnit, JMeter, Postman, RestAssured)Fluency in test automation using Java,Experience testing Spring Boot applicationsExperience in testing of python applications, including Gunicorn applicationsExperience maintaining, setting up and using SonarQube for static analysis and quality gates preferredExperience using performance testing tools and processes a plusWorking knowledge of AWS, Docker, Kubernetes, Jenkins, continuous delivery, GitAdditional InformationWe’re a cutting-edge tech company with a very human mission—to help every person discover, preserve, and share the story of what led to them. Combining the rich information in family trees and historical records with the genetic details revealed in DNA, we create unique experiences that give people a new understanding of their lives, because connecting all the pieces of our family story can give us the deepest sense of who we are.For more information on what we do and why you would want to work at Ancestry, visit our careers pagewww.workforancestry.comAncestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means .Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.IND1",Not Applicable,Full-time,"

              Quality Assurance
 
"
3,Sr. Big Data Engineer,Taos,"Cupertino, CA, US","Computer,Networking,Computer,Software,Information,Technology,Services","THIS IS NOT A REMOTE OPPORTUNITY / NO THIRD-PARTY VENDORSWho is Taos? Taos is an IT consulting and services company that offers expertise across the strategic, management and tactical layers of IT and engineering organizations. As part of the nation's IT landscape since 1989, we offer opportunities that will allow you to achieve your career goals and objectives.We're changing the face of some of the most innovative companies with our diverse solution offerings, exceptional talent and thought leadership. Our clients look to us first for advice, insight, and support, driving us to relentlessly focus on customer success.Taos is immediately hiring a Sr. Big Data Engineer for a cutting-edge tech company in Cupertino, CA!Who You AreYou are a service oriented, self-driven and motivated Big Data Engineer with strength in security concepts. You enjoy working on a high-intensity, fast-paced team, but can be a strong individual contributor as well. You are passionate about maintaining a high quality and productive environment for your team. You use your strong written and verbal communication skills to help your team achieve its operational goals.What You’ll Be Doing Supporting over 1,000 h/w and s/w engineers working on leading-edge technology Troubleshooting advanced Big Data solutions focused on Splunk Working with a team to solve Machine Learning issues Acting as SME on security-related requirements Designing and building new systems based on requirements Working with corporate IT teams to ensure compliance What You’ll Bring With You Over 5 years of experience working with Splunk 2 or more years of experience with Big Data and Machine Learning (MLTK a big plus) Bachelor’s degree in IT related field or equivalent experience, related technology certification preferred Ability to develop solutions in highly complex environments involving global sites Let’s Talk About UsSome IT professionals watch their careers shoot straight up. Others spend years at one company after another struggling to get noticed and stay on top of developing technologies. If you are looking for a place that puts employees first while staying on the cutting edge of technology, come to Taos. We’ll immerse you in multiple environments and operating technologies, give you access to the collaboration of a strong technical community, and expose you to IT innovation as it happens in real-time. With unparalleled adaptability, you have the opportunity to leverage Taos as an employer to be successful.ReferralsWe love referrals so much that we pay for them! If you know someone that you would recommend, click HERE or go to our website at http://www.taos.com/it-talent/opportunities/and we will do the rest! We'll make sure that you receive the $1000 referral bonus after they are employed with us.CompensationOur compensation package includes a competitive salary, medical and dental insurance, 401k, paid vacation, sick time and holiday pay, plus loads of free training (Puppet, Chef, Nagios, LAMP Stack, PMP, ITIL, Python, etc.)!How To ApplyIf you’re interested in this position or know someone who is, please email your resume (Word or PDF format) and contact information toTaos Mountain, LLC is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color national origin, sex, age, status as a protected veteran, or status as a qualified individual with disability.Veterans are encouraged to apply!E-Verify Participant: This employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization. Please go to",Associate,Full-time,"

              Information Technology
 
"
4,Big Data Developer,Sapient Global Markets,"Newport, CA, US","Financial,Services,Information,Technology,Services,Marketing,Advertising","DescriptionAt Sapient Global Markets, we are quite literally on the front lines of the biggest issues facing the global markets leaders today – investment banks, asset management firms, wealth managers, oil and energy firms, and government and regulatory agencies. Driving transformation and leading change within these industries requires big thinkers who bring insight, knowledge, technical acumen and passion for innovation. We offer the opportunity to join a recognized leader in developing and delivering ground-breaking solutions for today’s dynamic global marketplace and an award-winning culture that fosters growth and leadership.As a Big Data Developer at Sapient Consulting, you will help to realize high-end technology solutions for our clients in the financial and commodities trading industry. You will lead a multidisciplinary, international project team and manage the development, design, user interface, technology integration, and site architecture management. Moreover, in this hands-on managing consultant role you will engage in business development, as well as in building and maintaining client relationships .Requirements Experienced developer with the ability to work hands-on define architecture / blueprints, and advise clients on technology strategy.Project experience in designing or migrating existing systems using technologies such as: Hadoop, HDInsight, Spark, Hive, Pig, Sqoop, HDFS, NoSQLExperience in building complex distributed modern data platformsGuide in development & support of innovative solutions for a Data Warehouse projects for all consumed applications internally.Design, construct, and manage the data lake environment including: data ingestion, staging, data quality monitoring, and business modeling.Drive the collection, cleansing, processing, and analysis of new and existing data sources, including the oversight for defining and reporting data quality and consistency metrics. Experience with Python a must Strong SQL skills Experience with Azure and/or AWS a plus Experience with Informatica/ETL skills a plus Openness to travel and work at client officesBachelor’s degree in Computer Science or related field About Sapient ConsultingSapient Consulting combines digital expertise with a deep understanding of how industries operate to enable meaningful transformation and business process modernization. We work with organizations across financial services, energy and commodities, the public sector and healthcare to deliver strategy, intelligent data, digital technologies and customer engagement. As part of the Publicis.Sapient platform with SapientRazorfish, and alongside Publicis Communications and Publicis Media, we are the enterprise business and technology arm of a leading digital transformation network. With access to 80,000 professionals throughout 108 countries across Publicis Groupe, Sapient Consulting is a global force for digital and technological change. For more information, visit www.sapientconsulting.com .Sapient is a registered service mark of Sapient Corporation.Reasonable accommodations will be made as necessary for the known physical or mental disability of an otherwise qualified applicant or employee unless doing so would impose an undue hardship on the operation of the Company’s business.Sapient US is an Equal Opportunity / Affirmative Action employer. All qualified applicants to Sapient US will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.Job QualificationsLocation(s)United States-California-NewportScheduleFull-timeJobTechnology",Not Applicable,Full-time,"

              Information Technology
 
"
0,Lead Data Scientist,PayPal,"San Jose, CA, US","Computer,Software,Financial,Services,Internet","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 237 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.Data Scientist for risk managementTransform large amount of complex data into business insights and solution by using statistics or latest technology in machine learning, pattern recognition, text mining, and parallel/distributed computingResearch on latest technologies and tools in data-mining industry and develop prototype for business use casesProvide technology and research support in design of new productsRapidly learn new concepts and contexts (technical, risk, payments, ecommerce)Passion for data analytics, innovation and technologies""Can do"" attitude, team player, energetic personality, ability to work well under pressure in a fast paced ever changing environment. Desire to learn and grow professionally in an environment that looks for and rewards achievementPossess intellectual curiosity and be able to handle ambiguityTake initiative, strong work ethics and be willing to challenge the status quoWork effectively independently or as a teamGood communication skillsPassionate about big data, data mining, machine learning and artificial intelligenceRequiredExperience in modeling and analyticsGood working knowledge of Python or Java or other major programming languages.Fluent in Linux/Unix environmentStrong PlusKnowledge of Risk Management, e-Commerce, Payment and DatabasesKnowledge/expertise in parallel/distributed computing, such as Hadoop, GraphLabWe're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.R0035214",Not Applicable,Full-time,"

              Engineering
 

              Information Technology
 
"
1,"Infrastructure Data Scientist, Intern",Facebook,"Menlo Park, CA, US",Internet,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at +1 650-308-7837.",Internship,Full-time,"

              Engineering
 

              Information Technology
 
"
2,"Data Analyst III, Business Insights",L.A. Care Health Plan,"1055 West 7th Street , Los Angeles, CA 90017, US","Hospital,&,Health,Care","DUTIES:The Data Analyst III of Business Insights is responsible for supporting short and long term operational and/or strategic business initiatives. This role will develop, enhance, and maintain operational information and models that will have an impact on business decisions. Through the application of data analytics, joining disparate data sources, and working with raw data, this role will work to deliver valuable insights and recommendations to improve operational performance. The Data Analyst III of Business Insights will work in a highly matrixed environment, working closely with senior leaders, management, and line staff to understand root cause, propose recommendations for improvement, and develop solutions on key business challenges. This position will serve as a mentor to team members. QUALIFICATIONS & REQUIREMENTS EDUCATION:Required: High School DiplomaPreferred: Associate's or Bachelor's Degree in Computer Science, Finance, Engineering, Math, Physics, Economics and other related technical disciplines.EXPERIENCE: Required: With High School Diploma: At least 10 years of collecting, manipulating, and analyzing data in business and/or finance Preferred:With Associate's Degree: 7 years of collecting, manipulating, and analyzing data in business and/or financeWith Bachelor's Degree: 5 years of collecting, manipulating, and analyzing data in business and/or financeWith Master's Degree: 3 years of collecting, manipulating, and analyzing data in business and/or finance",Associate,Full-time,"

              Health Care Provider
 

              Information Technology
 
"
3,Senior Data Scientist,Campbell North,San Francisco Bay Area,"Consumer,Electronics","The Company My client is a high growth technology start-up who have been growing at over 700% over the last year, taken on 9 figures in investment and have a market leading product. They are building out a brand new data science function and are looking to hire a senior data scientist/data science manager to lead this greenfield project.  The Role Solve complex business problems related to user growth, supply chain operations, growth analytics and product management.  Responsible for all analytics and reporting measurements for the operations unit.  Take charge of offline vs. online analytics; market analytics, competitor analysis, pricing analytics. Predictive modeling of market trends and understanding the firm's impact on it Answer complex sales, logistics and supply chain operations by creating dashboards.  Understand customer behavior and consumption patterns. Build statistical models to forecast sales.  About you BSc Numerical field; Mathematics, Statistics, Economics, Computer Science, Quantitative Finance or similar.   4+ years experience in a similar role as a data scientist  Ideally, experience working on a consumer product or operations project. Excellent programming skills in Python and SQL. Experience building dashboards and analytical reports Apply Now If you would like to know more please click apply or reach out to alex@campbell-north.com ",Mid-Senior level,Full-time,"

              Advertising
 

              Supply Chain
 

              Product Management
 
"
4,Clinical Data Analyst,Stryker,"Fremont, CA, US","Electrical/Electronic,Manufacturing,Mechanical,or,Industrial,Engineering,Medical,Devices","Under Supervision Perform The Following DutiesReview and provide input from data management perspective on protocols.Work in conjunction with Clinical Project Manager on CRF design process utilizing Stryker data form standards.In collaboration with Clinical, create CRF completion guidelines to be utilized by sites and clinical research associates.Work with Database Programmer Analysts to set up, validate and maintain clinical databases in accordance with Stryker standards.Work with Database Programmer Analysts to develop edit checks.Perform user acceptance testing (UAT) of database.Manage access to the database by completing access revocation request forms and forwarding them to appropriate database personnel.Prepare and present CRF and CRF completion guidelines at investigator meetings.Ensure quality data management activities – i.e., data review, query generation and resolution, generate status reports to clinical staff and management.Ensure that Data Coordinators complete entry in a timely fashion.Create and maintain Data Management Plans, including, but not limited to: CRF/DCF flow, external data handling, SAE processing, coding, lock procedures, and archival procedures, collaborating with Clinical.Create and maintain tools for tracking and inventory of CRFs and DCFs.Develop guidelines for data entry.Generate queries to resolve data issues and apply corrections to database, working with the clinical research associate.Perform reconciliation of adverse events with serious adverse events database according to established guidelines.Perform coding of medical data using industry standard dictionaries such as MedDRA, WHO Drug, etc.Process laboratory data, including laboratory normal reference ranges, from local, central, or external labs according to established guidelines.Understand the fundamentals of merging external data with the CRF data.Work with Database Programmer Analyst to initiate database lock procedures with approval from the Clinical Project Manager.Coordinate and perform or oversee database quality control audit prior to database lock.Review final tables, listings, graphs, reports, and narratives produced by Biostatistics.Perform or oversee final archival of CRFs/DCFs database.Act as a point person and provide oversight for CRA data management activities.Work From Home: NoTravel Percentage: Up to 25%Stryker Corporation is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, ethnicity, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status. Stryker is an EO employer – M/F/Veteran/Disability.Stryker Corporation will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.",Not Applicable,Full-time,"

              Information Technology
 
"
